transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,latitude_starting,longitude_starting,network_node_code_starting,network_node_name_ending,latitude_ending,longitude_ending,network_node_code_ending,notes
24,,,,,,,,,,,80,,,,Node_22,45.4037181,-71.9185838,Node_22,Node_21,45.4109587,-72.7379344,Node_21,3
25,,,,,,,,,,,80,,,,Node_23,45.8797991,-72.1392469,Node_23,Node_6,45.6474342,-73.3792461,Node_6,3
26,,,,,,,,,,,80,,,,Node_23,45.8797991,-72.1392469,Node_23,Node_22,45.4037181,-71.9185838,Node_22,3
27,,,,,,,,,,,80,,,,Node_24,47.5405027,-75.1679787,Node_24,Node_5,46.2022216,-74.5233463,Node_5,2
28,,,,,,,,,,,80,,,,Node_24,47.5405027,-75.1679787,Node_24,Node_15,49.8071778,-75.4563038,Node_15,3
29,,,,,,,,,,,80,,,,Node_24,47.5405027,-75.1679787,Node_24,Node_17,45.5995652,-73.924466,Node_17,1
30,,,,,,,,,,,80,,,,Node_25,48.883683,-72.442474,Node_25,Node_50,49.156563,-73.743324,Node_50,3
31,,,,,,,,,,,80,,,,Node_26,48.405959,-71.069183,Node_26,Node_25,48.883683,-72.442474,Node_25,1
32,,,,,,,,,,,80,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_17,45.5995652,-73.924466,Node_17,1
33,,,,,,,,,,,80,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_18,45.837338,-73.1499338,Node_18,1
34,,,,,,,,,,,80,,,,Node_25,48.883683,-72.442474,Node_25,Node_49,47.91461759575676,-71.90657030205759,Node_49,2
35,,,,,,,,,,,80,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_49,47.91461759575676,-71.90657030205759,Node_49,2
36,,,,,,,,,,,80,,,,Node_27,46.8387013,-71.5763158,Node_27,Node_26,48.405959,-71.069183,Node_26,1
37,,,,,,,,,,,80,,,,Node_28,47.08114,-71.1993319,Node_28,Node_27,46.8387013,-71.5763158,Node_27,3
38,,,,,,,,,,,80,,,,Node_29,46.8033,-71.208,Node_29,Node_1,47.7370383,-69.5568875,Node_1,1
39,,,,,,,,,,,80,,,,Node_29,46.8033,-71.208,Node_29,Node_23,45.8797991,-72.1392469,Node_23,3
40,,,,,,,,,,,80,,,,Node_29,46.8033,-71.208,Node_29,Node_28,47.08114,-71.1993319,Node_28,2
41,,,,,,,,,,,80,,,,Node_30,46.1620946,-70.9279886,Node_30,Node_22,45.4037181,-71.9185838,Node_22,1
42,,,,,,,,,,,80,,,,Node_30,46.1620946,-70.9279886,Node_30,Node_29,46.8033,-71.208,Node_29,1
43,,,,,,,,,,,80,,,,Node_31,49.7965164,-68.7823319,Node_31,Node_26,48.405959,-71.069183,Node_26,1
44,,,,,,,,,,,80,,,,Node_32,49.3434837,-68.2572221,Node_32,Node_31,49.7965164,-68.7823319,Node_31,1
45,,,,,,,,,,,80,,,,Node_33,48.243882,-69.545517,Node_33,Node_29,46.8033,-71.208,Node_29,3
46,,,,,,,,,,,80,,,,Node_33,48.243882,-69.545517,Node_33,Node_32,49.3434837,-68.2572221,Node_32,3
47,,,,,,,,,,,80,,,,Node_34,50.2050486,-66.8400285,Node_34,Node_31,49.7965164,-68.7823319,Node_31,1
48,,,,,,,,,,,80,,,,Node_34,50.2050486,-66.8400285,Node_34,Node_32,49.3434837,-68.2572221,Node_32,3
49,,,,,,,,,,,80,,,,Node_35,52.0843754,-65.9554024,Node_35,Node_34,50.2050486,-66.8400285,Node_34,3
50,,,,,,,,,,,80,,,,Node_36,50.5743153,-63.0989383,Node_36,Node_34,50.2050486,-66.8400285,Node_34,2
51,,,,,,,,,,,80,,,,Node_37,48.2296749,-70.1959341,Node_37,Node_28,47.08114,-71.1993319,Node_28,1
52,,,,,,,,,,,80,,,,Node_37,48.2296749,-70.1959341,Node_37,Node_31,49.7965164,-68.7823319,Node_31,1
53,,,,,,,,,,,80,,,,Node_38,56.21404,-73.86678,Node_38,Node_11,53.7438013,-73.4213559,Node_11,1
54,,,,,,,,,,,80,,,,Node_39,49.05096,-64.77019,Node_39,Node_3,49.1890673,-65.6017718,Node_3,1
55,,,,,,,,,,,80,,,,Node_40,47.9551,-78.07737,Node_40,Node_24,47.5405027,-75.1679787,Node_24,1
56,,,,,,,,,,,80,,,,Node_41,50.88179,-59.24046,Node_41,Node_36,50.5743153,-63.0989383,Node_36,1
57,,,,,,,,,,,80,,,,Node_42,47.2512,-73.81746,Node_42,Node_27,46.8387013,-71.5763158,Node_27,1
58,,,,,,,,,,,80,,,,Node_42,47.2512,-73.81746,Node_42,Node_25,48.883683,-72.442474,Node_25,1
59,,,,,,,,,,,80,,,,Node_42,47.2512,-73.81746,Node_42,Node_18,45.837338,-73.1499338,Node_18,2
60,,,,,,,,,,,80,,,,Node_42,47.2512,-73.81746,Node_42,Node_24,47.5405027,-75.1679787,Node_24,2
61,,,,,,,,,,,80,,,,Node_47,48.7177241,-77.9142732,Node_47,Node_12,51.6879428,-76.2568664,Node_12,1
62,,,,,,,,,,,80,,,,Node_47,48.7177241,-77.9142732,Node_47,Node_15,49.8071778,-75.4563038,Node_15,1
63,,,,,,,,,,,80,,,,Node_47,48.7177241,-77.9142732,Node_47,Node_40,47.9551,-78.07737,Node_40,1
64,,,,,,,,,,,80,,,,Node_44,46.1075,-76.123333,Node_44,Node_40,47.9551,-78.07737,Node_40,1
65,,,,,,,,,,,80,,,,Node_46,50.4356692,-68.7676678,Node_46,Node_31,49.7965164,-68.7823319,Node_31,2
66,,,,,,,,,,,80,,,,Node_44,46.1075,-76.123333,Node_44,Node_16,45.5533303,-74.3034735,Node_16,2
67,,,,,,,,,,,80,,,,Node_43,51.11408085,-63.40029252162382,Node_43,Node_36,50.5743153,-63.0989383,Node_36,2
68,,,,,,,,,,,80,,,,Node_46,50.4356692,-68.7676678,Node_46,Node_45,50.7771784,-69.3811298,Node_45,1
69,,,,,,,,,,,80,,,,Node_48,59.970508094129215,-71.96636733876329,Node_48,Node_45,50.7771784,-69.3811298,Node_45,1
70,,,,,,,,,,,80,,,,Node_14,49.9137407,-74.3713954,Node_14,Node_50,49.156563,-73.743324,Node_50,3
71,,,,,,,,,,,80,,,,Hydro_Robert-Bourassa,53.781944,-77.532778,Hydro_Robert-Bourassa,Node_8,53.7047995,-77.7719418,Node_8,3
72,,,,,,,,,,,80,,,,Hydro_La Grande-4,53.886667,-73.465278,Hydro_La Grande-4,Node_11,53.7438013,-73.4213559,Node_11,2
73,,,,,,,,,,,80,,,,Hydro_La Grande-3,53.727721,-75.988438,Hydro_La Grande-3,Node_9,53.5875771,-76.1239926,Node_9,2
74,,,,,,,,,,,80,,,,Hydro_La grande-2-A,53.779444,-77.549167,Hydro_La grande-2-A,Node_8,53.7047995,-77.7719418,Node_8,2
75,,,,,,,,,,,80,,,,Hydro_Beauharnois_Francis,45.313216,-73.877952,Hydro_Beauharnois_Francis,Node_19,45.2061168,-74.0068446,Node_19,1
76,,,,,,,,,,,80,,,,Hydro_Beauharnois_Kaplan,45.313216,-73.877952,Hydro_Beauharnois_Kaplan,Node_19,45.2061168,-74.0068446,Node_19,1
77,,,,,,,,,,,80,,,,Hydro_Manic-5,50.639722,-68.726944,Hydro_Manic-5,Node_46,50.4356692,-68.7676678,Node_46,2
78,,,,,,,,,,,80,,,,Hydro_La grande-1,53.734444,-78.573889,Hydro_La grande-1,Node_7,53.7567938,-77.9477231,Node_7,2
79,,,,,,,,,,,80,,,,Hydro_Rene-Levesque,49.740833,-68.594444,Hydro_Rene-Levesque,Node_31,49.7965164,-68.7823319,Node_31,2
80,,,,,,,,,,,80,,,,Hydro_Jean-Lesage,49.321666,-68.347221,Hydro_Jean-Lesage,Node_32,49.3434837,-68.2572221,Node_32,2
81,,,,,,,,,,,80,,,,Hydro_Bersimis-1,49.295000,-69.551667,Hydro_Bersimis-1,Node_31,49.7965164,-68.7823319,Node_31,2
82,,,,,,,,,,,80,,,,Hydro_Manic-5-PA,50.639805,-68.732893,Hydro_Manic-5-PA,Node_46,50.4356692,-68.7676678,Node_46,2
83,,,,,,,,,,,80,,,,Hydro_Outardes-3,49.557075,-68.722249,Hydro_Outardes-3,Node_31,49.7965164,-68.7823319,Node_31,2
84,,,,,,,,,,,80,,,,Hydro_Sainte-Marguerite-3,50.705000,-66.779722,Hydro_Sainte-Marguerite-3,Node_34,50.2050486,-66.8400285,Node_34,1
85,,,,,,,,,,,80,,,,Hydro_Laforge-1,54.170556,-72.615278,Hydro_Laforge-1,Node_11,53.7438013,-73.4213559,Node_11,1
86,,,,,,,,,,,80,,,,Hydro_Bersimis-2,49.175278,-69.229167,Hydro_Bersimis-2,Node_32,49.3434837,-68.2572221,Node_32,1
87,,,,,,,,,,,80,,,,Hydro_Outardes-4,49.703333,-68.903611,Hydro_Outardes-4,Node_31,49.7965164,-68.7823319,Node_31,1
88,,,,,,,,,,,80,,,,Hydro_Bernard-Landry,52.181885,-76.050483,Hydro_Bernard-Landry,Node_12,51.6879428,-76.2568664,Node_12,1
89,,,,,,,,,,,80,,,,Hydro_Carillon,45.568611,-74.383611,Hydro_Carillon,Node_16,45.5533303,-74.3034735,Node_16,1
90,,,,,,,,,,,80,,,,Hydro_Romaine-2,50.623732,-63.190935,Hydro_Romaine-2,Node_36,50.5743153,-63.0989383,Node_36,1
91,,,,,,,,,,,80,,,,Hydro_Toulnustouc,49.970556,-68.159444,Hydro_Toulnustouc,Node_31,49.7965164,-68.7823319,Node_31,1
92,,,,,,,,,,,80,,,,Hydro_Outardes-2,49.144563,-68.389785,Hydro_Outardes-2,Node_32,49.3434837,-68.2572221,Node_32,1
93,,,,,,,,,,,80,,,,Hydro_Eastmain-1,52.181667,-76.051389,Hydro_Eastmain-1,Node_12,51.6879428,-76.2568664,Node_12,1
94,,,,,,,,,,,80,,,,Hydro_Brisay,54.454444,-70.519167,Hydro_Brisay,Node_11,53.7438013,-73.4213559,Node_11,1
95,,,,,,,,,,,80,,,,Hydro_Romaine-3,51.114188,-63.400227,Hydro_Romaine-3,Node_43,51.11408085,-63.40029252162382,Node_43,1
96,,,,,,,,,,,80,,,,Hydro_Peribonka,49.507500,-71.181943,Hydro_Peribonka,Node_25,48.883683,-72.442474,Node_25,1
97,,,,,,,,,,,80,,,,Hydro_Laforge-2,54.591667,-71.270833,Hydro_Laforge-2,Node_11,53.7438013,-73.4213559,Node_11,1
98,,,,,,,,,,,80,,,,Hydro_Trenche,47.752433,-72.878752,Hydro_Trenche,Node_49,47.91461759575676,-71.90657030205759,Node_49,1
99,,,,,,,,,,,80,,,,Hydro_La tuque,47.444583,-72.798810,Hydro_La tuque,Node_42,47.2512,-73.81746,Node_42,1
100,,,,,,,,,,,80,,,,Hydro_Beaumont,47.555556,-72.836667,Hydro_Beaumont,Node_49,47.91461759575676,-71.90657030205759,Node_49,1
101,,,,,,,,,,,80,,,,Hydro_Romaine-1,50.386552,-63.260058,Hydro_Romaine-1,Node_36,50.5743153,-63.0989383,Node_36,1
102,,,,,,,,,,,80,,,,Hydro_Romaine-4,50.215556,-60.686667,Hydro_Romaine-4,Node_41,50.88179,-59.24046,Node_41,1
103,,,,,,,,,,,80,,,,Hydro_McCormick,49.192500,-68.327778,Hydro_McCormick,Node_32,49.3434837,-68.2572221,Node_32,1
104,,,,,,,,,,,80,,,,Hydro_Rocher-de-Grand-Mere,46.613888,-72.674857,Hydro_Rocher-de-Grand-Mere,Node_27,46.8387013,-71.5763158,Node_27,2
105,,,,,,,,,,,80,,,,Hydro_Paugan,45.809852,-75.933041,Hydro_Paugan,Node_44,46.1075,-76.123333,Node_44,1
106,,,,,,,,,,,80,,,,Hydro_Rapide-Blanc,47.797222,-72.975000,Hydro_Rapide-Blanc,Node_49,47.91461759575676,-71.90657030205759,Node_49,1
107,,,,,,,,,,,80,,,,Hydro_Shawinigan-2,46.537500,-72.765278,Hydro_Shawinigan-2,Node_18,45.837338,-73.1499338,Node_18,1
108,,,,,,,,,,,80,,,,Hydro_Shawinigan-3,46.533833,-72.765263,Hydro_Shawinigan-3,Node_18,45.837338,-73.1499338,Node_18,1
109,,,,,,,,,,,80,,,,Hydro_Manic-1,49.190556,-68.329444,Hydro_Manic-1,Node_32,49.3434837,-68.2572221,Node_32,1
110,,,,,,,,,,,80,,,,Hydro_Rapides-des-Iles,47.576852,-79.354675,Hydro_Rapides-des-Iles,Node_40,47.9551,-78.07737,Node_40,1
111,,,,,,,,,,,80,,,,Hydro_Chelsea,45.512561,-75.777591,Hydro_Chelsea,Node_44,46.1075,-76.123333,Node_44,1
112,,,,,,,,,,,80,,,,Hydro_Sarcelle,52.667721,-76.632538,Hydro_Sarcelle,Node_9,53.5875771,-76.1239926,Node_9,1
113,,,,,,,,,,,80,,,,Hydro_La Gabelle,46.448889,-72.739444,Hydro_La Gabelle,Node_18,45.837338,-73.1499338,Node_18,1
114,,,,,,,,,,,80,,,,Hydro_Premiere-Chute,47.600000,-79.452500,Hydro_Premiere-Chute,Node_40,47.9551,-78.07737,Node_40,1
115,,,,,,,,,,,80,,,,Hydro_Les Cedres,45.311667,-74.028333,Hydro_Les Cedres,Node_19,45.2061168,-74.0068446,Node_19,1
116,,,,,,,,,,,80,,,,Hydro_Rapides-des-Quinze,47.591099,-79.294055,Hydro_Rapides-des-Quinze,Node_40,47.9551,-78.07737,Node_40,1
117,,,,,,,,,,,80,,,,Hydro_Rapides-Farmer,45.498885,-75.763311,Hydro_Rapides-Farmer,Node_44,46.1075,-76.123333,Node_44,1
118,,,,,,,,,,,80,,,,Hydro_Chute-des-Chats,45.475000,-76.238333,Hydro_Chute-des-Chats,Node_44,46.1075,-76.123333,Node_44,1
119,,,,,,,,,,,80,,,,Hydro_Rapide-des-Coeurs,47.786596,-73.375177,Hydro_Rapide-des-Coeurs,Node_42,47.2512,-73.81746,Node_42,1
120,,,,,,,,,,,80,,,,Hydro_Chute-Allard,47.891110,-73.721943,Hydro_Chute-Allard,Node_42,47.2512,-73.81746,Node_42,1
121,,,,,,,,,,,80,,,,Hydro_Bryson,45.661111,-76.631111,Hydro_Bryson,Node_44,46.1075,-76.123333,Node_44,1
122,,,,,,,,,,,80,,,,Hydro_Rapide-2,47.933611,-78.576111,Hydro_Rapide-2,Node_40,47.9551,-78.07737,Node_40,1
123,,,,,,,,,,,80,,,,Hydro_Rapide-7,47.768449,-78.310155,Hydro_Rapide-7,Node_40,47.9551,-78.07737,Node_40,1
124,,,,,,,,,,,80,,,,Hydro_Mercier,46.717777,-75.982777,Hydro_Mercier,Node_44,46.1075,-76.123333,Node_44,1
125,,,,,,,,,,,80,,,,Hydro_Riviere-des-Prairies,45.589444,-73.657222,Hydro_Riviere-des-Prairies,Node_17,45.5995652,-73.924466,Node_17,1
126,,,,,,,,,,,80,,,,Hydro_Hart-Jaune,51.785000,-67.912778,Hydro_Hart-Jaune,Node_35,52.0843754,-65.9554024,Node_35,1
127,,,,,,,,,,,80,,,,Hydro_Chute-Hemmings,45.862500,-72.450833,Hydro_Chute-Hemmings,Node_23,45.8797991,-72.1392469,Node_23,1
128,,,,,,,,,,,80,,,,Hydro_Lac-Robertson,50.999167,-59.063056,Hydro_Lac-Robertson,Node_41,50.88179,-59.24046,Node_41,1
129,,,,,,,,,,,80,,,,Hydro_Sept-Chutes,47.122760,-70.828527,Hydro_Sept-Chutes,Node_28,47.08114,-71.1993319,Node_28,1
130,,,,,,,,,,,80,,,,Hydro_Drummondville,45.886924,-72.483802,Hydro_Drummondville,Node_23,45.8797991,-72.1392469,Node_23,1
131,,,,,,,,,,,80,,,,Hydro_Chute-Bell,45.773889,-74.684444,Hydro_Chute-Bell,Node_16,45.5533303,-74.3034735,Node_16,1
132,,,,,,,,,,,80,,,,Hydro_Churchill-Falls,53.528900,-63.965800,Hydro_Churchill-Falls,Node_35,52.0843754,-65.9554024,Node_35,3
133,,,,,,,,,,,80,,,,Hydro_Gull-Island,52.960000,-61.370000,Hydro_Gull-Island,Node_43,51.11408085,-63.40029252162382,Node_43,3
134,,,,,,,,,,,80,,,,Eolien_Baie-des-Sables,48.702509,-67.876310,Eolien_Baie-des-Sables,Node_2,48.6548709,-67.8430015,Node_2,1
135,,,,,,,,,,,80,,,,Eolien_Carleton,48.195191,-66.131161,Eolien_Carleton,Node_4,48.1149537,-66.2609327,Node_4,1
136,,,,,,,,,,,80,,,,Eolien_Côte-de-Beaupré,47.295206,-70.879282,Eolien_Côte-de-Beaupré,Node_28,47.08114,-71.1993319,Node_28,1
137,,,,,,,,,,,80,,,,Eolien_De l'Érable,46.095803,-71.654954,Eolien_De l'Érable,Node_23,45.8797991,-72.1392469,Node_23,1
138,,,,,,,,,,,80,,,,Eolien_Des Cultures (Parc Éolien),45.218807,-73.614962,Eolien_Des Cultures (Parc Éolien),Node_20,45.4106519,-73.3696835,Node_20,1
139,,,,,,,,,,,80,,,,Eolien_Des Moulins I,46.174049,-71.349287,Eolien_Des Moulins I,Node_30,46.1620946,-70.9279886,Node_30,1
140,,,,,,,,,,,80,,,,Eolien_Des Moulins II,48.039953,-67.534352,Eolien_Des Moulins II,Node_2,48.6548709,-67.8430015,Node_2,1
141,,,,,,,,,,,80,,,,Eolien_Frampton,46.440764,-70.736972,Eolien_Frampton,Node_30,46.1620946,-70.9279886,Node_30,1
142,,,,,,,,,,,80,,,,Eolien_Gros-Morne,49.206037,-65.458314,Eolien_Gros-Morne,Node_3,49.1890673,-65.6017718,Node_3,1
143,,,,,,,,,,,80,,,,Eolien_Jardin d'Éole (Saint-Ulric Saint-Léandre),48.731627,-67.647983,Eolien_Jardin d'Éole (Saint-Ulric Saint-Léandre),Node_2,48.6548709,-67.8430015,Node_2,1
144,,,,,,,,,,,80,,,,Eolien_L'Anse-à-Valleau,49.093389,-64.654071,Eolien_L'Anse-à-Valleau,Node_39,49.05096,-64.77019,Node_39,1
145,,,,,,,,,,,80,,,,Eolien_La Dune-du-Nord aux Iles-de-la-Madeleine,47.568602,-61.636502,Eolien_La Dune-du-Nord aux Iles-de-la-Madeleine,Node_39,49.05096,-64.77019,Node_39,1
146,,,,,,,,,,,80,,,,Eolien_La Mitis,48.364883,-67.839695,Eolien_La Mitis,Node_2,48.6548709,-67.8430015,Node_2,1
147,,,,,,,,,,,80,,,,Eolien_Lac Alfred,48.391588,-67.752378,Eolien_Lac Alfred,Node_2,48.6548709,-67.8430015,Node_2,1
148,,,,,,,,,,,80,,,,Eolien_Le Granit,45.697620,-70.581152,Eolien_Le Granit,Node_30,46.1620946,-70.9279886,Node_30,1
149,,,,,,,,,,,80,,,,Eolien_Le Nordais (Cap-Chat),49.063100,-66.756446,Eolien_Le Nordais (Cap-Chat),Node_3,49.1890673,-65.6017718,Node_3,1
150,,,,,,,,,,,80,,,,Eolien_Le Nordais (Matane),48.779063,-67.583434,Eolien_Le Nordais (Matane),Node_2,48.6548709,-67.8430015,Node_2,1
151,,,,,,,,,,,80,,,,Eolien_Le Plateau I,48.051837,-67.446803,Eolien_Le Plateau I,Node_2,48.6548709,-67.8430015,Node_2,1
152,,,,,,,,,,,80,,,,Eolien_Le Plateau II,48.046615,-67.493547,Eolien_Le Plateau II,Node_2,48.6548709,-67.8430015,Node_2,1
153,,,,,,,,,,,80,,,,Eolien_Le Projet Éoliennes Belle-Rivière (Val-eo),48.462200,-71.728204,Eolien_Le Projet Éoliennes Belle-Rivière (Val-eo),Node_26,48.405959,-71.069183,Node_26,1
154,,,,,,,,,,,80,,,,Eolien_Massif du Sud,46.576506,-70.458737,Eolien_Massif du Sud,Node_30,46.1620946,-70.9279886,Node_30,1
155,,,,,,,,,,,80,,,,Eolien_Mesgi'g Ugju's'n,48.309833,-66.725639,Eolien_Mesgi'g Ugju's'n,Node_4,48.1149537,-66.2609327,Node_4,1
156,,,,,,,,,,,80,,,,Eolien_Mont Copper,48.953287,-65.550813,Eolien_Mont Copper,Node_3,49.1890673,-65.6017718,Node_3,1
157,,,,,,,,,,,80,,,,Eolien_Mont Louis,49.191406,-65.640750,Eolien_Mont Louis,Node_3,49.1890673,-65.6017718,Node_3,1
158,,,,,,,,,,,80,,,,Eolien_Mont Miller,48.980812,-65.485567,Eolien_Mont Miller,Node_3,49.1890673,-65.6017718,Node_3,1
159,,,,,,,,,,,80,,,,Eolien_Mont Sainte-Marguerite,46.324393,-71.139859,Eolien_Mont Sainte-Marguerite,Node_30,46.1620946,-70.9279886,Node_30,1
160,,,,,,,,,,,80,,,,Eolien_Mont-Rothery,48.980415,-65.385451,Eolien_Mont-Rothery,Node_3,49.1890673,-65.6017718,Node_3,1
161,,,,,,,,,,,80,,,,Eolien_Montagne-Sèche,49.180439,-64.947187,Eolien_Montagne-Sèche,Node_39,49.05096,-64.77019,Node_39,1
162,,,,,,,,,,,80,,,,Eolien_Montérégie,45.290870,-73.634982,Eolien_Montérégie,Node_20,45.4106519,-73.3696835,Node_20,1
163,,,,,,,,,,,80,,,,Eolien_New Richmond,48.207836,-65.700492,Eolien_New Richmond,Node_4,48.1149537,-66.2609327,Node_4,1
164,,,,,,,,,,,80,,,,Eolien_Nicolas-Riou,48.133702,-68.881117,Eolien_Nicolas-Riou,Node_33,48.243882,-69.545517,Node_33,1
165,,,,,,,,,,,80,,,,Eolien_Pierre-De Saurel,45.972472,-72.929434,Eolien_Pierre-De Saurel,Node_18,45.837338,-73.1499338,Node_18,1
166,,,,,,,,,,,80,,,,Eolien_Raglan Mine,61.680372,-73.717759,Eolien_Raglan Mine,Node_48,59.970508094129215,-71.96636733876329,Node_48,1
167,,,,,,,,,,,80,,,,Eolien_Rivière-du-Moulin,47.961250,-71.075826,Eolien_Rivière-du-Moulin,Node_26,48.405959,-71.069183,Node_26,1
168,,,,,,,,,,,80,,,,Eolien_Roncevaux,48.128890,-67.410716,Eolien_Roncevaux,Node_2,48.6548709,-67.8430015,Node_2,1
169,,,,,,,,,,,80,,,,Eolien_SNEEC,48.987915,-64.452828,Eolien_SNEEC,Node_39,49.05096,-64.77019,Node_39,1
170,,,,,,,,,,,80,,,,Eolien_Saint-Damase,48.630062,-67.866035,Eolien_Saint-Damase,Node_2,48.6548709,-67.8430015,Node_2,1
171,,,,,,,,,,,80,,,,Eolien_Saint-Philémon,46.665746,-70.366036,Eolien_Saint-Philémon,Node_29,46.8033,-71.208,Node_29,1
172,,,,,,,,,,,80,,,,Eolien_Saint-Robert-Bellarmin,45.684328,-70.540926,Eolien_Saint-Robert-Bellarmin,Node_30,46.1620946,-70.9279886,Node_30,1
173,,,,,,,,,,,80,,,,Eolien_Seigneurie de Beaupré,47.331979,-70.881621,Eolien_Seigneurie de Beaupré,Node_28,47.08114,-71.1993319,Node_28,1
174,,,,,,,,,,,80,,,,Eolien_Témiscouata,47.633465,-69.115784,Eolien_Témiscouata,Node_1,47.7370383,-69.5568875,Node_1,1
175,,,,,,,,,,,80,,,,Eolien_Vents du Kempt,48.315842,-67.113864,Eolien_Vents du Kempt,Node_2,48.6548709,-67.8430015,Node_2,1
176,,,,,,,,,,,80,,,,Eolien_Viger-Denonville,47.919181,-69.221168,Eolien_Viger-Denonville,Node_1,47.7370383,-69.5568875,Node_1,1
177,,,,,,,,,,,80,,,,Thermique_Becancour,46.336500,-72.084000,Thermique_Becancour,Node_23,45.8797991,-72.1392469,Node_23,1
178,,,,,,,,,,,80,,,,Solaire_Varennes,45.683300,-73.433300,Solaire_Varennes,Node_6,45.6474342,-73.3792461,Node_6,1
179,,,,,,,,,,,80,,,,Solaire_La Prairie,45.416700,-73.499900,Solaire_La Prairie,Node_20,45.4106519,-73.3696835,Node_20,1
